English,Hindi
"Please wait a moment.","कृपया एक क्षण प्रतीक्षा करें।"
"I don't understand.","मुझे समझ नहीं आ रहा है।"
"Excuse me, where is the restroom?","क्षमा करें, शौचालय कहाँ है?"
"What time is it?","अभी कितने बजे हैं?"
"How much does it cost?","यह कितने का है?"
"Where can I find a taxi?","मैं टैक्सी कहाँ मिलेगी?"
"I am hungry.","मुझे भूख लगी है।"
"I am thirsty.","मुझे प्यास लगी है।"
"I am tired.","मैं थक गया/गई हूँ।"
"Where is the nearest hospital?","सबसे निकटतम अस्पताल कहाँ है?"
"Could you repeat that, please?","क्या आप उसे दोहरा सकते हैं, कृपया?"
"I need some help.","मुझे कुछ मदद चाहिए।"
"Can you speak English?","क्या आप अंग्रेज़ी बोल सकते हैं?"
"How long will it take?","यह कितना समय लेगा?"
"What's the weather like today?","आज का मौसम कैसा है?"
"I'm sorry for the inconvenience.","असुविधा के लिए माफ़ी चाहता/चाहती हूँ।"
"Can I have the bill, please?","क्या मुझे बिल मिल सकता है, कृपया?"
"I'll have a coffee, please.","मुझे एक कॉफ़ी देना, कृपया।"
"Where is the nearest ATM?","सबसे निकटतम एटीएम कहाँ है?"
"Do you accept credit cards?","क्या आप क्रेडिट कार्ड स्वीकार करते हैं?"
"I need to make a phone call.","मुझे फोन करना है।"
"Can I have a glass of water?","क्या मुझे एक गिलास पानी मिल सकता है?"
"What's your favorite color?","आपका पसंदीदा रंग क्या है?"
"How do you say this in Hindi?","इसे हिंदी में कैसे कहते हैं?"
"What's your hobby?","आपका शौक क्या है?"
"I have a reservation.","मेरी बुकिंग है।"
"Can you recommend a good restaurant?","क्या आप एक अच्छा रेस्तरां सुझा सकते हैं?"
"How do I get to the airport?","मुझे हवाई अड्डे कैसे पहुंचना है?"
"What's your phone number?","आपका फोन नंबर क्या है?"
"Do you have any siblings?","क्या आपके भाई-बहन हैं?"
"Can I have a menu, please?","क्या मुझे मेनू मिल सकता है, कृपया?"
"What's your email address?","आपका ईमेल पता क्या है?"
"Could you pass me the salt, please?","क्या आप मुझे नमक दे सकते हैं, कृपया?"
"What's your favorite food?","आपका पसंदीदा खाना क्या है?"
"I'm lost.","मैं खो गया/गई हूँ।"
"Can you show me on the map?","क्या आप मुझे मानचित्र पर दिखा सकते हैं?"
"Is there a pharmacy nearby?","क्या पास में कोई दवा की दुकान है?"
"Do you have any allergies?","क्या आपको कोई एलर्जी है?"
"I'm allergic to nuts.","मुझे ड्राई फलों से एलर्जी है।"
"I'm allergic to seafood.","मुझे सीफूड से एलर्जी है।"
"Can I try this on?","क्या मैं इसे प्रयोग कर सकता हूँ?"
"I'm looking for a souvenir.","मैं स्मारिका खोज रहा/रही हूँ।"
"What's the exchange rate?","विनिमय दर क्या है?"
"Do you have a lighter?","क्या आपके पास लाइटर है?"
"Do you have a charger?","क्या आपके पास चार्जर है?"
"What's your date of birth?","आपका जन्म तिथि क्या है?"
"I'm sorry, I can't help you.","माफ़ कीजिए, मैं आपकी मदद नहीं कर सकता।"
"Do you speak English?","क्या आप अंग्रेज़ी बोलते हैं?"
"Where is the bus station?","बस स्टेशन कहाँ है?"
"Can you help me, please?","क्या आप मेरी मदद कर सकते हैं, कृपया?"
"Can you write it down for me?","क्या आप मेरे लिए इसे लिख सकते हैं?"
"What's the date today?","आज कौन सी तारीख है?"
"Is there a bank nearby?","क्या पास में कोई बैंक है?"
"Can you show me your ID?","क्या आप मुझे अपना आईडी दिखा सकते हैं?"
"What's your favorite movie?","आपकी पसंदीदा फिल्म कौन सी है?"
"Can you recommend a good book?","क्या आप एक अच्छी किताब सुझा सकते हैं?"
"Do you have a pen I can borrow?","क्या आपके पास एक पेन है जो मैं उधार ले सकूँ?"
"What's your favorite song?","आपका पसंदीदा गाना कौन सा है?"
"What's the WiFi password?","वाईफ़ाई का पासवर्ड क्या है?"
"Can I have a receipt, please?","क्या मुझे रसीद मिल सकती है, कृपया?"
"Do you have a reservation?","क्या आपकी बुकिंग है?"
"What's your favorite sport?","आपका पसंदीदा खेल कौन सा है?"
"Can you recommend a good hotel?","क्या आप एक अच्छा होटल सुझा सकते हैं?"
"Can you recommend a good movie?","क्या आप एक अच्छी फिल्म सुझा सकते हैं?"
"Do you have any children?","क्या आपके पास बच्चे हैं?"
"Can I have a glass of wine, please?","क्या मुझे एक गिलास शराब मिल सकता है, कृपया?"
"What's your favorite place to visit?","आपकी पसंदीदा जगह घूमने के लिए कौन सी है?"
"What's your favorite holiday?","आपका पसंदीदा छुट्टी कौन सी है?"
"Do you have any pets?","क्या आपके पास कोई पालतू जानवर हैं?"
"Can you show me your passport, please?","क्या आप मुझे अपना पासपोर्ट दिखा सकते हैं, कृपया?"
"What's your favorite season?","आपका पसंदीदा मौसम कौन सा है?"
"Can you open the window, please?","क्या आप खिड़की खोल सकते हैं, कृपया?"
"Can you close the door, please?","क्या आप दरवाज़ा बंद कर सकते हैं, कृपया?"
"Do you have any questions?","क्या आपके पास कोई सवाल हैं?"
"Can you help me with my bags?","क्या आप मेरी बस्ते के साथ मेरी मदद कर सकते हैं?"
"Can I have a fork, please?","क्या मुझे एक काँटा मिल सकता है, कृपया?"
"Can I have a spoon, please?","क्या मुझे एक चमच मिल सकता है, कृपया?"
"Can I have a knife, please?","क्या मुझे एक चाकू मिल सकता है, कृपया?"
"Can I have another one, please?","क्या मुझे एक और मिल सकता है, कृपया?"
"Do you have a menu in English?","क्या आपके पास अंग्रेज़ी में मेनू है?"
"What's your favorite book?","आपकी पसंदीदा किताब कौन सी है?"
"What's your favorite color?","आपका पसंदीदा रंग कौन सा है?"
"What's your favorite animal?","आपका पसंदीदा जानवर कौन सा है?"
"Can you write it down, please?","क्या आप इसे लिख सकते हैं, कृपया?"
"What's your favorite thing to do?","आपकी पसंदीदा चीज़ क्या है?"
"Do you have any plans for tonight?","आपके आज रात कोई प्लान्स हैं?"
"Do you have any plans for the weekend?","आपके वीकेंड के कोई प्लान्स हैं?"
"Do you want to go out tonight?","क्या आप आज रात बाहर जाना चाहते हैं?"
"Do you want to go out for dinner?","क्या आप डिनर के लिए बाहर जाना चाहते हैं?"
"Do you want to go for a walk?","क्या आप सैर के लिए जाना चाहते हैं?"
"Do you want to go to the movies?","क्या आप फिल्में देखने जाना चाहते हैं?"
"Do you want to go shopping?","क्या आप शॉपिंग करने जाना चाहते हैं?"
"Do you want to go for a drive?","क्या आप ड्राइव के लिए जाना चाहते हैं?"
"Do you want to go swimming?","क्या आप तैराकी के लिए जाना चाहते हैं?"
"Do you want to go for a bike ride?","क्या आप बाइक चलाने जाना चाहते हैं?"
"Do you want to go hiking?","क्या आप हाइकिंग के लिए जाना चाहते हैं?"
"Do you want to go skiing?","क्या आप स्की करने जाना चाहते हैं?"
"Do you want to go snowboarding?","क्या आप स्नोबोर्डिंग करने जाना चाहते हैं?"
"Do you want to go ice skating?","क्या आप आइस स्केटिंग करने जाना चाहते हैं?"
"Do you want to go to the gym?","क्या आप जिम जाना चाहते हैं?"
"Do you want to play tennis?","क्या आप टेनिस खेलना चाहते हैं?"
"Do you want to play golf?","क्या आप गोल्फ़ खेलना चाहते हैं?"
"Do you want to play basketball?","क्या आप बास्केटबॉल खेलना चाहते हैं?"
"Do you want to play volleyball?","क्या आप वॉलीबॉल खेलना चाहते हैं?"
"Do you want to play soccer?","क्या आप फ़ुटबॉल खेलना चाहते हैं?"
"Do you want to play football?","क्या आप फ़ुटबॉल खेलना चाहते हैं?"
"Do you want to play baseball?","क्या आप बेसबॉल खेलना चाहते हैं?"
"Do you want to play cricket?","क्या आप क्रिकेट खेलना चाहते हैं?"
"Do you want to play badminton?","क्या आप बैडमिंटन खेलना चाहते हैं?"
"Do you want to play table tennis?","क्या आप टेबल टेनिस खेलना चाहते हैं?"
"Do you want to play pool?","क्या आप पूल खेलना चाहते हैं?"
"Do you want to play darts?","क्या आप डार्ट्स खेलना चाहते हैं?"
"Do you want to play chess?","क्या आप शतरंज खेलना चाहते हैं?"
"Do you want to play cards?","क्या आप कार्ड्स खेलना चाहते हैं?"
"Do you want to play video games?","क्या आप वीडियो गेम्स खेलना चाहते हैं?"
"Do you want to play board games?","क्या आप बोर्ड गेम्स खेलना चाहते हैं?"
"Do you want to play hide and seek?","क्या आप छुपाछुपी खेलना चाहते हैं?"
"Do you want to play tag?","क्या आप टैग खेलना चाहते हैं?"
"Do you want to play truth or dare?","क्या आप सच या डर के खेलना चाहते हैं?"
"Do you want to play Simon says?","क्या आप साइमन कहता है खेलना चाहते हैं?"
"Do you want to play rock, paper, scissors?","क्या आप पत्थर, कागज, चाँटा खेलना चाहते हैं?"
"Do you want to play hangman?","क्या आप हैंगमैन खेलना चाहते हैं?"
"Do you want to play charades?","क्या आप शरेड्स खेलना चाहते हैं?"
"Do you want to play bingo?","क्या आप बिंगो खेलना चाहते हैं?"
"Do you want to play card games?","क्या आप कार्ड गेम्स खेलना चाहते हैं?"
"Do you want to play board games?","क्या आप बोर्ड गेम्स खेलना चाहते हैं?"
"Do you want to play video games?","क्या आप वीडियो गेम्स खेलना चाहते हैं?"
"Do you want to play sports?","क्या आप खेलना चाहते हैं?"
"Do you want to play indoor games?","क्या आप इनडोर गेम्स खेलना चाहते हैं?"
"Do you want to play outdoor games?","क्या आप आउटडोर गेम्स खेलना चाहते हैं?"
"Do you want to play games on the computer?","क्या आप कंप्यूटर पर गेम्स खेलना चाहते हैं?"
"Do you want to play games on the phone?","क्या आप फोन पर गेम्स खेलना चाहते हैं?"
"Do you want to play games on the tablet?","क्या आप टैबलेट पर गेम्स खेलना चाहते हैं?"
"Do you want to play games on the console?","क्या आप कंसोल पर गेम्स खेलना चाहते हैं?"
"Do you want to play games on the TV?","क्या आप टीवी पर गेम्स खेलना चाहते हैं?"
"Do you want to play games on the handheld device?","क्या आप हैंडहेल्ड डिवाइस पर गेम्स खेलना चाहते हैं?"
"Do you want to play games on the VR headset?","क्या आप वीआर हेडसेट पर गेम्स खेलना चाहते हैं?"
"Do you want to play games on the AR glasses?","क्या आप एआर ग्लासेस पर गेम्स खेलना चाहते हैं?"
"Do you want to play games on the smartwatch?","क्या आप स्मार्टवॉच पर गेम्स खेलना चाहते हैं?"